applicant_id,day,description,amount,balance_after,true_category
0,0,UC PAYMENT DWP,2449.61,2623.68,income
0,0,BP EXPRESS 1524,-17.35,1013.45,transport
0,1,DISNEY PLUS,-15.99,749.5,subscriptions
0,1,KLARNA* PYMT 79726,-297.63,358.89,debt_repayment
0,2,COSTA COFFEE 53349,-39.99,973.46,eating_out
0,3,TESCO STORES 66048,-38.24,1150.19,groceries
0,3,GREGGS PLC 94499,-38.99,934.47,eating_out
0,4,UBER *EATS 92796,-16.49,876.96,eating_out
0,5,MORRISONS STORE 20140,-40.27,1405.26,groceries
0,5,M&S SIMPLY FOOD,-44.35,1298.99,groceries
0,6,M&S SIMPLY FOOD,-27.26,1232.59,groceries
0,6,TRAINLINE 38219,-18.71,1131.48,transport
0,9,LINK ATM WDL 75156,-50.0,656.52,cash
0,10,TRAINLINE 5320,-20.18,1046.67,transport
0,10,ARGOS RETAIL 24024,-28.82,790.48,shopping
0,11,UBER *TRIP 96785,-15.87,1030.8,transport
0,12,BP EXPRESS 44625,-22.06,1090.0,transport
0,13,BT GROUP PLC DD,-213.72,1512.59,utilities
0,13,TESCO STORES 61791,-33.29,1371.97,groceries
0,14,CO-OP GROUP 36189,-44.16,1188.43,groceries
0,15,ASOS.COM,-19.29,857.67,shopping
0,16,PRIMARK STORES,-38.37,819.3,shopping
0,17,ASDA SUPERSTORE,-36.42,1476.17,groceries
0,17,GWR TICKET OFFICE,-23.15,1066.85,transport
0,19,SPOTIFY UK 80784,-24.99,765.49,subscriptions
0,22,BP EXPRESS 97875,-19.42,1112.06,transport
0,23,M&S SIMPLY FOOD,-28.63,1343.34,groceries
0,23,TESCO STORES 74202,-39.14,1259.85,groceries
0,24,APPLE.COM/BILL,-7.99,706.52,subscriptions
0,26,NANDOS 28156,-41.02,893.45,eating_out
0,27,RENT PAYMENT REF46846,-897.37,1726.31,housing
0,27,TESCO STORES 9809,-30.64,1445.53,groceries
0,27,AMAZON PRIME 34168,-34.99,714.51,subscriptions
0,30,UC PAYMENT DWP,2458.88,2817.77,income
0,30,RENT PAYMENT REF46846,-688.18,2129.59,housing
0,30,WAITROSE 81070,-46.22,1666.97,groceries
0,30,POST OFFICE CNTR,-50.0,962.22,cash
0,32,M&S SIMPLY FOOD,-38.4,1872.34,groceries
0,32,TFL TRAVEL CH,-20.41,1407.25,transport
0,33,BT GROUP PLC DD,-218.85,1910.74,utilities
0,33,COSTA COFFEE 92114,-34.57,1307.28,eating_out
0,33,ZARA UK 47971,-36.8,1182.61,shopping
0,33,DISNEY PLUS,-15.99,1105.2,subscriptions
0,34,DELIVEROO 46999,-16.85,1269.11,eating_out
0,35,TRAINLINE 91005,-13.61,1546.37,transport
0,35,GWR TICKET OFFICE,-15.74,1482.77,transport
0,37,COSTA COFFEE 67678,-37.64,1341.85,eating_out
0,38,SPOTIFY UK 80784,-24.99,1121.19,subscriptions
0,39,TFL TRAVEL CH,-14.05,1498.51,transport
0,40,UBER *TRIP 34671,-13.15,1533.22,transport
0,41,ICELAND FOODS,-31.72,1713.19,groceries
0,41,UBER *TRIP 41223,-19.97,1427.66,transport
0,42,IKEA LTD 37633,-36.43,1146.18,shopping
0,44,WAITROSE 90926,-46.51,1744.91,groceries
0,44,GWR TICKET OFFICE,-16.49,1466.28,transport
0,45,WAGAMAMA 74602,-27.76,1379.49,eating_out
0,46,BP EXPRESS 83151,-18.65,1447.63,transport
