decile,count,predicted_rate,observed_rate,difference
1,2990,0.005413451672252029,0.005016722408026756,0.0003967292642252729
2,2989,0.00771108280668824,0.010036801605888258,-0.002325718799200018
3,2989,0.01022649375350104,0.009702241552358649,0.000524252201142392
4,2989,0.014581656836160835,0.013382402141184342,0.0011992546949764933
5,2989,0.022200296003946723,0.012713282034125126,0.009487013969821597
6,2989,0.030478595922018823,0.026430244228839078,0.004048351693179745
7,2989,0.04150830879408429,0.03981264637002342,0.0016956624240608703
8,2989,0.07221431291871705,0.07627969220475075,-0.004065379286033705
9,2989,0.11286404792329045,0.13114754098360656,-0.01828349306031611
10,2990,0.3546091050241997,0.3605351170568562,-0.005926012032656525
