decile,count,bads,bad_rate,cumulative_bads,cumulative_bad_capture,cumulative_population,lift
1,2990,1085,0.362876254180602,1085,0.52978515625,0.10002676301351532,5.2964340771321075
2,2989,396,0.132485781197725,1481,0.72314453125,0.2000200722601365,3.615359814036628
3,2989,216,0.07226497156239545,1697,0.82861328125,0.30001338150675766,2.7619210752815566
4,2989,113,0.03780528604884577,1810,0.8837890625,0.40000669075337886,2.2094356992765745
5,2989,94,0.031448645031783205,1904,0.9296875,0.5,1.859375
6,2990,21,0.0070234113712374585,1925,0.93994140625,0.6000267630135153,1.5664991366873886
7,2989,49,0.01639344262295082,1974,0.9638671875,0.7000200722601365,1.3769136424731183
8,2989,33,0.011040481766477083,2007,0.97998046875,0.8000133815067577,1.2249550962563769
9,2989,13,0.004349280695884911,2020,0.986328125,0.9000066907533788,1.0959119916923763
10,2989,28,0.00936768149882904,2048,1.0,1.0,1.0
