feature,bin,count,goods,bads,bad_rate,woe,iv_contribution
revolving_utilisation,"(-inf, 0.0304036]",22405,22013,392,0.01749609462173622,1.393577169318757,0.27583310379049514
revolving_utilisation,"(0.0304036, 0.0715694]",11203,11004,199,0.017763099169865213,1.3769478487397468,0.13548878705008374
revolving_utilisation,"(0.0715694, 0.154107]",11202,10930,272,0.024281378325299054,1.058376237710086,0.09034342965330437
revolving_utilisation,"(0.154107, 0.309042]",11202,10778,424,0.037850383860025,0.6010992084970246,0.03500726183870091
revolving_utilisation,"(0.309042, 0.55814]",11203,10500,703,0.06275104882620726,0.06981280353997733,0.0005911864564983263
revolving_utilisation,"(0.55814, 0.919945]",11202,9744,1458,0.13015532940546332,-0.7340029610107589,0.09267519338464573
revolving_utilisation,"(0.919945, inf)",11203,8645,2558,0.22833169686691066,-1.4156796688653643,0.4565895943357452
age,"(-inf, 34]",11420,10136,1284,0.11243432574430823,-0.5675242406067516,0.05255592961265143
age,"(34, 41]",11377,10317,1060,0.09317043157247078,-0.35819648634306217,0.019038537291237653
age,"(41, 47]",12335,11311,1024,0.08301580867450345,-0.23168225533320472,0.008171496335581407
age,"(47, 52]",11156,10296,860,0.07708856220867695,-0.15125177897125314,0.0030413346858751
age,"(52, 57]",10518,9831,687,0.06531660011409013,0.02698749209382368,8.449160608737194e-05
age,"(57, 63]",12394,11821,573,0.04623204776504761,0.39261977592732683,0.018024461602725042
age,"(63, 70]",9984,9699,285,0.028545673076923076,0.8922901137100341,0.061098699476909483
age,"(70, inf)",10436,10203,233,0.022326561901111538,1.1440065265951267,0.09513355026070179
debt_ratio,"(-inf, 0.346528]",56012,52731,3281,0.05857673355709491,0.1436148910455493,0.012116368190291374
debt_ratio,"(0.346528, 0.467051]",11203,10458,745,0.06650004463090244,0.007817715724119724,7.614624036839645e-06
debt_ratio,"(0.467051, 0.728176]",11202,10231,971,0.08668094983038743,-0.2789122670196728,0.010978984141702808
debt_ratio,"(0.728176, inf)",11203,10194,1009,0.0900651611175578,-0.320904273560925,0.01480396657267272
monthly_income,"(-inf, 3800]",22611,20490,2121,0.09380390075626907,-0.3654594955248345,0.03951113995845672
monthly_income,"(3800, 5750]",22274,20715,1559,0.06999191882912813,-0.04678051869399195,0.0005550590043848871
monthly_income,"(5750, 7382.25]",22330,21060,1270,0.05687416032243618,0.1746912503712648,0.007052533389085982
monthly_income,"(7382.25, 10000]",11390,10823,567,0.049780509218612816,0.3149367518192905,0.011013767459197093
monthly_income,"(10000, inf)",11015,10526,489,0.044394008170676354,0.4349692302749832,0.01931446926984172
open_credit_lines,"(-inf, 3]",12884,11486,1398,0.10850667494566904,-0.5275252748748505,0.05034597970280086
open_credit_lines,"(3, 5]",14620,13711,909,0.06217510259917921,0.07979770383874439,0.0010036191351921596
open_credit_lines,"(5, inf)",62116,58417,3699,0.059549874428488636,0.12612035313154574,0.010440714959878203
real_estate_lines,"(-inf, 2]",83758,78258,5500,0.0656653692781585,0.02188097855653228,0.00044323911183607805
real_estate_lines,"(2, inf)",5862,5356,506,0.08631866257250086,-0.27475574195118696,0.005565678459931123
